Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
17,14:49:21.388,Dot Bot,Track Master 100,0.522000s,28,20,0.714286,1.000000,1.400000,0.714286,0,0
18,14:49:21.884,Dot Bot,Track Master 100,0.482000s,27,20,0.740741,1.000000,1.350000,0.740741,0,0
19,14:49:22.633,Dot Bot,Track Master 100,0.738000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
20,14:49:23.061,Dot Bot,Track Master 100,0.415000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
21,14:49:23.604,Dot Bot,Track Master 100,0.530000s,32,20,0.625000,1.000000,1.600000,0.625000,0,0
22,14:49:24.123,Dot Bot,Track Master 100,0.504000s,29,20,0.689655,1.000000,1.450000,0.689655,0,0
23,14:49:24.708,Dot Bot,Track Master 100,0.568000s,35,20,0.571429,1.000000,1.749999,0.571429,0,0
24,14:49:25.152,Dot Bot,Track Master 100,0.433000s,26,20,0.769231,1.000000,1.300000,0.769231,0,0
25,14:49:25.831,Dot Bot,Track Master 100,0.667000s,41,20,0.487805,1.000000,2.049999,0.487805,0,0
26,14:49:26.306,Dot Bot,Track Master 100,0.463000s,25,20,0.800000,1.000000,1.250000,0.800000,0,0
27,14:49:26.818,Dot Bot,Track Master 100,0.496000s,31,20,0.645161,1.000000,1.550000,0.645161,0,0
28,14:49:27.364,Dot Bot,Track Master 100,0.533000s,34,20,0.588235,1.000000,1.699999,0.588235,0,0
